iter	Passed	Remaining
934	1798	125
935	1800	123
936	1801	121
937	1802	119
938	1804	117
939	1806	115
940	1807	113
941	1808	111
942	1811	109
943	1813	107
944	1814	105
945	1815	103
946	1817	101
947	1818	99
948	1820	97
949	1821	95
950	1823	93
951	1825	92
952	1827	90
953	1828	88
954	1830	86
955	1831	84
956	1833	82
957	1834	80
958	1836	78
959	1837	76
960	1840	74
961	1842	72
962	1843	70
963	1845	68
964	1846	66
965	1848	65
966	1849	63
967	1851	61
968	1853	59
969	1856	57
970	1860	55
971	1861	53
972	1863	51
973	1864	49
974	1866	47
975	1867	45
976	1872	44
977	1874	42
978	1875	40
979	1877	38
980	1879	36
981	1880	34
982	1882	32
983	1883	30
984	1886	28
985	1888	26
986	1890	24
987	1891	22
988	1893	21
989	1894	19
990	1896	17
991	1897	15
992	1900	13
993	1902	11
994	1903	9
995	1905	7
996	1907	5
997	1908	3
998	1909	1
999	1911	0
